"abbr","old_query","new_query","tree_has","relfrq"
"Ramfar","Ramalina_farinacea","Ramalina_farinacea",1,0.09963
"Ramlep","Ramalina_leptocarpha","Ramalina_leptocarpha",1,0.00371
"Rammen","Ramalina_menziesii","Ramalina_menziesii",1,0.00834
"Ramobt","Ramalina_obtusata","Ramalina_obtusata",1,0.00077
"Rampol","Ramalina_pollinaria","Ramalina_pollinaria",1,0.00247
"Ramroe","Ramalina_roesleri","Ramalina_roesleri",1,0.01622
"Ramsin","Ramalina_sinensis","Ramalina_sinensis",1,0.00896
"Ramsle","Ramalina_subleptocarpha","Ramalina_subleptocarpha",0,0.01097
"Ramste","Ramalina_stenospora","Ramalina_stenospora",0,0.00077
"Ramthr","Ramalina_thrausta","Ramalina_thrausta",0,0.00819
"Ramwil","Ramalina_willeyi","Ramalina_willeyi",0,0.00124
"Rimcet","Parmotrema_cetrata","Parmotrema_cetrata",0,0.00834
"Rimdif","Parmotrema_diffractaicum","Parmotrema_diffractaicum",0,0.00015
"Rimret","Parmotrema_reticulatum","Parmotrema_reticulatum",1,0.04649
"Rimsub","Rimelia_subisidiosa","Rimelia_subisidiosa",0,0.01112
"Sphglo","Sphaerophorus_globosus","Sphaerophorus_globosus",1,0.1072
"Sphmel","Bunodophoron_melanocarpum","Bunodophoron_melanocarpum",1,0.00293
"Stibea","Sticta_beauvoisii","Sticta_beauvoisii",1,0.00077
"Stiful","Sticta_fuliginosa","Sticta_fuliginosa",1,0.02981
"Stilim","Sticta_limbata","Sticta_limbata",1,0.01993
"Stiwei","Sticta_weigelii","Sticta_weigelii",1,0.00741
"Stiwri","Sticta_wrightii","Dendriscosticta_wrightii",1,0.0017
"Sulbad","Sulcaria_badia","Sulcaria_badia",0,0.00062
"Telchr","Teloschistes_chrysophthalmus","Teloschistes_chrysophthalmus",0,0.00139
"Telexi","Teloschistes_exilis","Teloschistes_exilis",1,0.00046
"Telfla","Teloschistes_flavicans","Teloschistes_flavicans",1,0.00015
"Tucari","Nephromopsis_arizonica","Nephromopsis_arizonica",0,0.00031
"Tucfen","Nephromopsis_fendleri","Tuckermanella_fendleri",1,0.02008
"Tucpse","Nephromopsis_pseudoweberi","Nephromopsis_pseudoweberi",0,0.00015
"Usncad","Usnea_dasaea","Usnea_dasaea",1,0.00108
"Usncav","Usnea_cavernosa","Usnea_cavernosa",0,0.00865
"Usncer","Usnea_ceratina","Usnea_ceratina",1,0.0105
"Usncha","Usnea_chaetophora","Usnea_chaetophora",1,0.00278
"Usncor","Usnea_cornuta","Usnea_cornuta",1,0.01869
"Usncyl","Usnea_cylindrica","Usnea_cylindrica",0,0.00062
"Usndip","Usnea_diplotypus","Usnea_diplotypus",0,0.00324
"Usnesp","Usnea_esperantiana","Usnea_esperantiana",1,0.00015
"Usnfil","Usnea_filipendula","Usnea_filipendula",1,0.06997
"Usnfra","Usnea_fragilescens","Usnea_fragilescens",1,0.00556
"Usngla","Usnea_glabrata","Usnea_glabrata",1,0.01344
"Usngls","Usnea_glabrescens","Usnea_glabrescens",1,0.00386
"Usnhes","Usnea_hesperina","Usnea_hesperina",0,0.00139
"Usnhir","Usnea_hirta","Usnea_hirta",1,0.10843
"Usnint","Usnea_intermedia","Usnea_intermedia",1,0.00355
"Usnlap","Usnea_lapponica","Usnea_lapponica",1,0.11631
"Usnlon","Usnea_longissima","Usnea_longissima",1,0.02657
"Usnmad","Usnea_madeirensis","Usnea_madeirensis",0,0.00386
"Usnmer","Usnea_merrillii","Usnea_merrillii",1,0.00015
"Usnmut","Usnea_mutabilis","Usnea_mutabilis",1,0.01097
"Usnnid","Usnea_nidulans","Usnea_nidulans",0,0.00031
"Usnocc","Usnea_occidentalis","Usnea_occidentalis",0,0.00077
"Usnpar","Usnea_parvula","Usnea_parvula",0,0.00108
"Usnpcf","Usnea_pacificana","Usnea_pacificana",0,0.01019
"Usnpli","Usnea_plicata","Usnea_plicata",0,0.00062
"Usnrub","Usnea_rubicunda","Usnea_rubicunda",1,0.01128
"Usnsca","Usnea_scabrata","Usnea_scabrata",0,0.02858
"Usnsfu","Usnea_subfusca","Usnea_subfusca",0,0.00185
"Usnssc","Usnea_subscabrosa","Usnea_subscabrosa",0,0.00309
"Usnsst","Usnea_substerilis","Usnea_substerilis",1,0.01807
"Usnstr","Usnea_strigosa","Usnea_strigosa",1,0.05314
"Usnsub","Usnea_subfloridana","Usnea_subfloridana",1,0.05437
"Usntri","Usnea_trichodea","Usnea_trichodea",0,0.00324
"Usnwas","Usnea_wasmuthii","Usnea_wasmuthii",1,0.0017
"Usnwir","Usnea_wirthii","Usnea_wirthii",0,0.03367
"Vulcan","Cetraria_canadensis","Vulpicida_canadensis",1,0.04696
"Vulpin","Cetraria_pinastri","Vulpicida_pinastri",1,0.03321
"Xancan","Polycauliona_candelaria","Polycauliona_candelaria",0,0.02919
"Xanfal","Xanthomendoza_fallax","Xanthomendoza_fallax",1,0.09515
"Xanful","Xanthomendoza_fulva","Xanthomendoza_fulva",1,0.0604
"Xangal","Xanthomendoza_galericulata","Xanthomendoza_galericulata",1,0.02302
"Xanhas","Xanthomendoza_hasseana","Xanthomendoza_hasseana",1,0.04062
"Xanmon","Xanthomendoza_montana","Xanthoria_montana",1,0.11044
"Xanore","Xanthomendoza_oregana","Xanthomendoza_oregana",1,0.03985
"Xanpar","Xanthoria_parietina","Xanthoria_parietina",1,0.00479
"Xanpol","Polycauliona_polycarpa","Polycauliona_polycarpa",1,0.06858
"Xanten","Polycauliona_tenax","Xanthoria_tenax",1,0.00324
"Xanulo","Xanthomendoza_ulophyllodes","Xanthoria_ulophyllodes",1,0.01128
